BlockKey,blockGeometry
Chable|2001,"POLYGON ((-91.731265845204689 17.903457105804911 0, -91.729293664173326 17.903177441000178 0, -91.729124907241228 17.904565193538748 0, -91.727726009592374 17.904404015540976 0, -91.728783695999724 17.897786247000035 0, -91.732154271999747 17.898255268000053 0, -91.731265845204689 17.903457105804911 0))"
Chable|2002,"POLYGON ((-91.729937615999773 17.890715517000022, -91.7287837534317 17.897785895098597, -91.728783754661478 17.897785887563394, -91.728783753128212 17.897785896958226, -91.7287837534317 17.897785895098597, -91.728783695999724 17.897786247000035, -91.732154271999747 17.898255268000053, -91.733296980999768 17.891260868000053, -91.729937615999773 17.890715517000022))"
Chable|2003,"POLYGON ((-91.729937615999773 17.890715517000022 0, -91.731118421999739 17.883479321000017 0, -91.734466696999775 17.884100474000018 0, -91.733296980999768 17.891260868000053 0, -91.729937615999773 17.890715517000022 0))"
Chable|2004,"POLYGON ((-91.726201975999714 17.897433329999991 0, -91.728783695999681 17.897786247000102 0, -91.727705245999729 17.9043939060001 0, -91.7228457811096 17.903619372676459 0, -91.725511757103632 17.902012417203242 0, -91.726201975999714 17.897433329999991 0))"
Chable|2005,"POLYGON ((-91.726201975999714 17.897433329999991 0, -91.726256486916853 17.897261230973502 0, -91.725851406143619 17.896405389356879 0, -91.72654579699973 17.89207036800012 0, -91.726584472896292 17.892075488611152 0, -91.72964946279086 17.892481261972378 0, -91.729649462999774 17.892481262000032 0, -91.728783695999681 17.897786247000102 0, -91.726201975999714 17.897433329999991 0))"
Chable|2006,"POLYGON ((-91.726201975476485 17.897433329963246, -91.722101395999772 17.89888019900004, -91.7217715235158 17.90089368627341, -91.721771961422874 17.900891013444127, -91.721770982549316 17.90089698824363, -91.7217715235158 17.90089368627341, -91.721363662999735 17.903383121999994, -91.7228457811096 17.903619372676459, -91.725511757103632 17.902012417203242, -91.726201975476485 17.897433329963246))"
Chable|2007,"POLYGON ((-91.725712818809441 17.897605932363014 0, -91.725712819848582 17.897605931996356 0, -91.725644037999785 17.897630202000148 0, -91.722101395999772 17.898880199000025 0, -91.723282147999726 17.89163823800008 0, -91.726584472999747 17.892075488000039 0, -91.726584472896292 17.892075488611152 0, -91.726584472896292 17.892075488611152 0, -91.725851406143619 17.896405389356879 0, -91.726256486916853 17.897261230973502 0, -91.726201975999714 17.897433329999977 0, -91.726201975441242 17.897433330197028 0, -91.726201975441242 17.897433330197028 0, -91.725712818809441 17.897605932363014 0))"
Chable|2008,"POLYGON ((-91.727998131999769 17.88290040900004 0, -91.731118421999739 17.883479321000017 0, -91.729649462999788 17.892481262000025 0, -91.72964946279086 17.892481261972364 0, -91.726584472999733 17.892075488000017 0, -91.727998131999769 17.88290040900004 0))"
Chable|2009,"POLYGON ((-91.724802565999738 17.882307475000044 0, -91.727998131999769 17.88290040900004 0, -91.726584472999733 17.892075488000017 0, -91.72328214799974 17.891638238000024 0, -91.724802565999724 17.882307475000044 0, -91.724802565999738 17.882307475000044 0))"
Chable|2010,"POLYGON ((-91.7196217432881 17.903105439558786 0, -91.719677145825827 17.902761601360709 0, -91.7200185321071 17.902369881787187 0, -91.720046882519938 17.90204841341826 0, -91.71994671543645 17.902034040786312 0, -91.719952455373544 17.90177850011327 0, -91.719846954640786 17.901781546500889 0, -91.7198645481567 17.901507382924056 0, -91.719684995294074 17.901486254482158 0, -91.719694293095174 17.901279359458368 0, -91.7183621704317 17.901093558792635 0, -91.718472537578435 17.90023155269504 0, -91.722101395999744 17.898880199000054 0, -91.721363662999778 17.903383122000012 0, -91.7196217432881 17.903105439558786 0))"
